# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# - {name: col1, unit: cm2, datatype: float64}
# - {name: col2, unit: cm2, datatype: float64}
# - {name: col3, unit: cm2, datatype: float64}
# - {name: col4, unit: cm2, datatype: float64}
# - {name: col5, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma col1 col2 col3 col4 col5
2.7857679973633074 inf inf inf inf inf inf
2.8310787628685636 inf inf inf inf inf inf
2.877126512025231 inf inf inf inf inf inf
2.9239232319382777 inf inf inf inf inf inf
2.971481104684006 inf inf inf inf inf inf
3.019812510481288 inf inf inf inf inf inf
3.068930030914351 inf inf inf inf inf inf
3.1188464522080173 inf inf inf inf inf inf
3.1695747685562035 inf inf inf inf inf inf
3.2211281855045524 inf inf inf inf inf inf
3.27352012338808 inf inf inf inf inf inf
3.326764220824756 inf inf inf inf inf inf
3.3808743382658886 inf inf inf inf inf inf
3.4358645616042596 inf inf inf inf inf inf
3.491749205840977 inf inf inf inf inf inf
3.548542818811901 inf inf inf inf inf inf
3.6062601849747473 inf inf inf inf inf inf
3.664916329257761 inf inf inf inf inf inf
3.724526520970979 inf inf inf inf inf inf
3.785106277781153 inf inf inf inf inf inf
3.8466713697512507 inf inf inf inf inf inf
3.90923782344573 inf inf inf inf inf inf
3.9728219261025526 inf inf inf inf inf inf
4.037440229873054 inf inf inf inf inf inf
4.103109556130814 inf inf inf inf inf inf
4.1698469998505345 inf inf inf inf inf inf
4.237669934058216 inf inf inf inf inf inf
4.306596014353682 inf inf inf inf inf inf
4.376643183506652 inf inf inf inf inf inf
4.447829676127631 inf inf inf inf inf inf
