# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
0.41320124001153347 4.093311872710419e-44 2.1938113451323958e-43 6.295814169112805e-39 5.422838073296632e-35 5.40021778241855e-31 5.399383751054211e-27
0.572236765935022 3.0743113706655727e-44 1.9528578956319954e-43 1.5811356373184986e-38 1.4378748740314133e-34 1.4342508958290415e-30 1.4339650430209718e-26
0.7924828983539153 2.3127078989157095e-44 1.8075843487483972e-43 4.046275262262031e-38 3.815336160041988e-34 3.8092196312951584e-30 3.808024766953565e-26
1.0974987654930546 1.7428235611457424e-44 1.758994056119563e-43 1.0494387857255488e-37 1.0128081029649735e-33 1.0116553637300284e-29 1.0111322070890952e-25
1.5199110829529332 1.3158717367488232e-44 1.824645429365371e-43 2.746440494622347e-37 2.6892206495790446e-33 2.686584934151061e-29 2.6843977502337574e-25
2.104904144512022 9.955852993510101e-45 2.051358418546679e-43 7.22938611997918e-37 7.141432721473043e-33 7.133836814435018e-29 7.125594927588061e-25
2.91505306282517 7.549823463580956e-45 2.5454298714732172e-43 1.9098693441897557e-36 1.8966047153356802e-32 1.894029297446196e-28 1.891330658667711e-24
4.03701725859655 5.73972140091092e-45 3.5452858516284086e-43 5.056667004356742e-36 5.03713630231717e-32 5.027956557100214e-28 5.020355206083159e-24
5.5908101825122225 4.3758196594138985e-45 5.598406278555262e-43 1.3406006141251706e-35 1.3378074503695162e-31 1.3346266607950537e-27 1.332734793315191e-23
7.742636826811277 3.346430822319262e-45 9.991107921027176e-43 3.556914442131297e-35 3.553002422600368e-31 3.5426407123262834e-27 3.538131943627906e-23
10.72267222010321 2.5681629294004902e-45 1.9786060418353416e-42 9.441593368582839e-35 9.43576990090743e-31 9.404131210128171e-27 9.392200302752531e-23
14.849682622544636 1.9786890511127766e-45 4.237377356975767e-42 2.5068693880713655e-34 2.5056785537926335e-30 2.4964809462648233e-26 2.4924533635528795e-22
20.565123083486515 1.531378701810677e-45 9.598322388252403e-42 6.657075592057407e-34 6.653131626723708e-30 6.62690522464877e-26 6.609818647173797e-22
28.48035868435793 1.191309103536722e-45 2.2666700147879792e-41 1.7679547992150207e-33 1.7663319397663627e-29 1.758641576195143e-25 1.7504908541071278e-21
39.44206059437648 9.322998624008421e-46 5.530156612940341e-41 4.6954388918081024e-33 4.6888926754802234e-29 4.664152637715567e-25 4.6236832616338536e-21
54.62277217684337 7.347074053547087e-46 1.3844520635365436e-40 1.2470548097508962e-32 1.244635112045709e-28 1.2354293633764876e-24 1.2151942212030626e-20
75.64633275546291 5.837841840129314e-46 3.5346799320533202e-40 3.311981501658033e-32 3.303805530024567e-28 3.264340506752823e-24 3.1639661505250135e-20
104.76157527896619 4.684585806503692e-46 9.152709812816906e-40 8.795716613517786e-32 8.76997126071341e-28 8.584964088468351e-24 8.097326091342526e-20
145.08287784959373 3.804294278547574e-46 2.3927705367560516e-39 2.3357255111746804e-31 2.3279232369935848e-27 2.23799103537623e-23 2.0101509287879967e-19
200.92330025650458 3.1349772938882718e-46 6.29419036073157e-39 6.201918250103145e-31 6.178099264993279e-27 5.740348031149461e-23 4.744379754517123e-19
278.2559402207126 2.63080506794107e-46 1.6621177561339842e-38 1.6465539483724115e-30 1.6387847817174964e-26 1.4305546289498735e-22 1.0383198881573069e-18
385.352859371052 2.2587045695692846e-46 4.399602455396294e-38 4.370959054881364e-30 4.3423651908911715e-26 3.3974012206691855e-22 2.0617635731773208e-18
533.6699231206302 1.996236277291829e-46 1.1662285089910024e-37 1.160244013796733e-29 1.1482073637936496e-25 7.500760487187855e-22 3.6900532533606016e-18
739.0722033525775 1.8308110512571383e-46 3.09399508562162e-37 3.079786986598892e-29 3.023912222676295e-25 1.5050695617812676e-21 6.029218635077367e-18
1023.5310218990269 1.7607123053135198e-46 8.212386357322343e-37 8.175283253146751e-29 7.903589595726223e-25 2.721283340481612e-21 9.214743365823097e-18
1417.474162926802 1.7992334188039034e-46 2.1804344968245163e-36 2.1700686569151384e-28 2.0369373966612e-24 4.4829420481177126e-21 1.3492868244206076e-17
1963.0406500402685 1.9852121020629195e-46 5.7901209890178924e-36 5.759225705368038e-28 5.11884317154684e-24 6.889063246655577e-21 1.9243855266782086e-17
2718.58824273294 2.408120492096338e-46 1.53769959674539e-35 1.5277173933375215e-27 1.232299656561623e-23 1.0119059933052211e-20 2.7075083657808567e-17
3764.935806792456 3.2681794418432065e-46 4.083898455792042e-35 4.0482986617360405e-27 2.7747830802255546e-23 1.447132194364892e-20 3.7809944054282987e-17
5214.0082879996735 5.022511763759704e-46 1.0846368788240653e-34 1.070571787813171e-26 5.704424220128979e-23 2.0388562938404054e-20 5.2665420491488287e-17
7220.8090183854565 8.740783726983826e-46 2.8806362729117634e-34 2.8200626091287385e-26 1.0569906269541511e-22 2.8492592612314326e-20 7.310031161574566e-17
10000.0 1.6963833426041366e-45 7.650243740304346e-34 7.373786269042737e-26 1.7769406989961369e-22 3.965024369428868e-20 1.0130157156993413e-16
