# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
0.572236765935022 3.6974832287188784e-41 4.018916789880032e-33 7.568008008365247e-26 9.52193366501785e-24 1.6720020418582247e-21 4.406649928470501e-18
0.7924828983539153 3.5617418173587276e-41 1.0633376008089119e-32 1.1527785035113254e-25 1.3213852012690751e-23 2.3556007570641676e-21 6.397172230571036e-18
1.0974987654930546 3.6253300842570376e-41 2.8166364124563484e-32 1.6842284096703727e-25 1.8341975502032016e-23 3.367129700512102e-21 9.642233736565253e-18
1.5199110829529332 3.9358274442467576e-41 7.462180168943562e-32 2.4014091687258053e-25 2.549064598677324e-23 4.935233873551235e-21 1.543269963137625e-17
2.104904144512022 4.5865516099244787e-41 1.9753387122410754e-31 3.3780482918322467e-25 3.551377175689974e-23 7.531854407563592e-21 2.6876132978981756e-17
2.91505306282517 5.736400640037335e-41 5.217326536261024e-31 4.71774998426422e-25 4.9699163862939505e-23 1.2192453561193355e-20 5.168443012585841e-17
4.03701725859655 7.636168717066654e-41 1.3716939038746965e-30 6.564508172172004e-25 7.006947379526126e-23 2.129598334411903e-20 1.0914113622903159e-16
5.5908101825122225 1.0683199028884539e-40 3.574632520126999e-30 9.11867630700671e-25 9.995854617784306e-23 4.051305570178912e-20 2.467131706241359e-16
7.742636826811277 1.557537075547343e-40 9.164362260584257e-30 1.2660669857735657e-24 1.4516491333234268e-22 8.368315663851638e-20 5.759610939001206e-16
10.72267222010321 2.3681841478647775e-40 2.2820988883389248e-29 1.7586667299125935e-24 2.1636177162528344e-22 1.8457709734931169e-19 1.3361821055456884e-15
14.849682622544636 3.78634639772288e-40 5.413201557806847e-29 2.4464321467712407e-24 3.3435387886117965e-22 4.227776014100103e-19 2.965194171978446e-15
20.565123083486515 6.441756269571957e-40 1.193095602050187e-28 3.4123928176537686e-24 5.4205583484967135e-22 9.709532665049893e-19 6.086778581060041e-15
28.48035868435793 1.1798417894243664e-39 2.389149362930994e-28 4.781578856851707e-24 9.32924599817414e-22 2.1516581252380574e-18 1.1332710401274555e-14
39.44206059437648 2.3429492189398453e-39 4.311143339675415e-28 6.749664343031487e-24 1.7205894696745877e-21 4.4393432626810146e-18 1.9170906652687338e-14
54.62277217684337 5.0370223898461854e-39 7.0905858778432455e-28 9.637719288930908e-24 3.4114072236821286e-21 8.334249597351404e-18 3.003686198470285e-14
75.64633275546291 1.1594472232138144e-38 1.0884549413059758e-27 1.40016115292359e-23 7.223613286998578e-21 1.4215656579750486e-17 4.46640612918218e-14
104.76157527896619 2.810131072844604e-38 1.5977715356409025e-27 2.0860013867775655e-23 1.603689905422265e-20 2.2414785192705048e-17 6.432975855851016e-14
145.08287784959373 7.054349502974515e-38 2.284261026392015e-27 3.219029628677922e-23 3.6237287094471346e-20 3.346939784814752e-17 9.099193779306783e-14
200.92330025650458 1.8110450931661406e-37 3.2179767900614954e-27 5.2054985597212374e-23 8.028371183388493e-20 4.832587127959435e-17 1.274290760318314e-13
278.2559402207126 4.714115897919802e-37 4.497708420480888e-27 8.926795297724766e-23 1.6780305359099088e-19 6.844771325315159e-17 1.7751646688091143e-13
385.352859371052 1.2373077479321353e-36 6.2608339041648565e-27 1.6390976479336707e-22 3.2145104721467147e-19 9.593037772843609e-17 2.465960675919649e-13
533.6699231206302 3.2634252159891195e-36 8.698402989850338e-27 3.2346059939614555e-22 5.596163023018212e-19 1.3368989232438805e-16 3.4207061856738254e-13
739.0722033525775 8.631075124582882e-36 1.207753445016027e-26 6.820342618226749e-22 8.966887181442913e-19 1.857556288157298e-16 4.741222597368065e-13
1023.5310218990269 2.2858919886038945e-35 1.6775028801235776e-26 1.5096190236308586e-21 1.3533262578980246e-18 2.576941123288323e-16 6.569803574282197e-13
1417.474162926802 6.056315724216304e-35 2.33295089493503e-26 3.40697434997131e-21 1.966597478676884e-18 3.5719962110538867e-16 9.103204620165692e-13
1963.0406500402685 1.6036284216677653e-34 3.252612423092482e-26 7.553892345169015e-21 2.795497550788274e-18 4.949064205671006e-16 1.2598221086571877e-12
2718.58824273294 4.238239867055305e-34 4.55416258306904e-26 1.5828535131447435e-20 3.925595791327927e-18 6.855528392700296e-16 1.7442939557503186e-12
3764.935806792456 1.1156863381121756e-33 6.420648905969205e-26 3.0429966241478395e-20 5.476461870782077e-18 9.495354298252236e-16 2.4153477764569944e-12
5214.0082879996735 2.9144246119136016e-33 9.150262294378341e-26 5.3165429062825643e-20 7.6134666149318e-18 1.3151085152453707e-15 3.3494484675476907e-12
7220.8090183854565 7.50448618393226e-33 1.3255178867907256e-25 8.54307324758444e-20 1.0564962976891062e-17 1.8213036974614913e-15 4.6382752541508965e-12
10000.0 1.8830870436417662e-32 1.966632630121826e-25 1.2918280604246002e-19 1.4646657706528157e-17 2.5225278436345212e-15 6.4198583067876505e-12
